epoch,train_loss,train_acc,val_acc
1,1.3354,0.937,0.937
2,1.1672,0.932,0.930
3,1.1134,0.937,0.943
4,1.0828,0.947,0.956
5,1.0659,0.945,0.952
6,1.0552,0.945,0.950
7,1.0431,0.950,0.959
8,1.0441,0.951,0.963
9,1.0323,0.960,0.953
10,1.0327,0.952,0.953
11,1.0230,0.961,0.944
12,1.0200,0.959,0.944
13,1.0132,0.962,0.954
14,1.0110,0.968,0.944
15,1.0144,0.963,0.957
16,1.0110,0.962,0.951
17,1.0164,0.966,0.939
18,1.0038,0.971,0.959
19,1.0117,0.968,0.958
20,1.0065,0.958,0.956
21,1.0083,0.964,0.950
22,1.0018,0.963,0.951
23,0.9996,0.967,0.949
24,1.0039,0.965,0.951
25,1.0078,0.963,0.951
26,1.0005,0.963,0.951
27,1.0081,0.969,0.947
28,1.0037,0.961,0.949
29,1.0103,0.967,0.952
30,1.0093,0.965,0.950
