epoch,train_loss,train_acc,val_acc
1,1.325534,0.5701,0.636
2,1.225795,0.6172,0.64
3,1.224365,0.6068,0.678
4,1.199398,0.6303,0.6868
5,1.192081,0.6396,0.7056
6,1.197303,0.6562,0.7118
7,1.186739,0.6632,0.7106
8,1.159171,0.7036,0.7514
9,1.170918,0.7253,0.749
10,1.177852,0.7085,0.7518
11,1.166042,0.7281,0.7602
12,1.158674,0.7407,0.7336
13,1.135385,0.7473,0.7658
14,1.131551,0.7641,0.7334
15,1.143647,0.7595,0.7446
16,1.130452,0.7754,0.7356
17,1.124609,0.7913,0.7612
18,1.121302,0.7949,0.7364
19,1.110698,0.7998,0.7322
20,1.094923,0.8228,0.7552
21,1.087355,0.8342,0.7566
22,1.087894,0.8577,0.7498
23,1.076922,0.8622,0.7484
24,1.074198,0.851,0.7298
25,1.075694,0.8579,0.761
26,1.061608,0.8751,0.744
27,1.038717,0.8938,0.7168
28,1.051456,0.8778,0.7416
29,1.055175,0.883,0.7226
30,1.05248,0.8849,0.7426
31,1.050329,0.9016,0.7352
32,1.040508,0.9026,0.73
33,1.042149,0.8964,0.7142
34,1.031025,0.9196,0.724
35,1.025659,0.9084,0.709
36,1.03181,0.9123,0.7278
37,1.013696,0.9171,0.7298
38,1.016133,0.9171,0.7084
39,1.012601,0.9232,0.7034
40,1.020989,0.9171,0.7162
41,1.0194,0.914,0.726
42,1.021052,0.9224,0.6954
43,1.007958,0.9352,0.713
44,1.010143,0.9289,0.7034
45,1.023906,0.9289,0.7176
46,1.003504,0.9324,0.6964
47,1.010046,0.9309,0.7076
48,1.026427,0.9246,0.6902
49,1.008485,0.9275,0.7198
50,1.019843,0.9311,0.7094
